Session Title,Date,Time Start,Time End,Room/Location,Schedule Track (Optional),Description (Optional)
Brandon Satrom: Secrets of Awesome JavaScript API Design,01/10/2013,4:50 PM,5:50 PM,Nile,JavaScript,"It doesn't take long for most developers to sniff out a poorly-designed JavaScript API. Within minutes of reading about or coding against a new library, most developers can intuit whether their long-term relationship with that library will be a pleasant or unfortunate one. While documentation, buzz and other factors certainly play into that conclusion, the largest influencer of that snap conclusion is the ""feel"" of the API itself. APIs are developer UX: A good one raises a developers enjoyment; a bad one sends it plummeting. 

As developers, we know what good and bad JavaScript APIs ""feel"" like, and yet we struggle with designing the kind of APIs that we enjoy using. But principles of good JavaScript API design do exist, and it's possible to extract them from several key libraries in the the proliferating JavaScript landscape. In this session, Brandon Satrom will do exactly that, digging into the design aspects of popular libraries like jQuery, Backbone, Knockout, Modernizer, Kendo UI and others to enumerate the designed-in qualities of these libraries that make them not only popular, but a pleasure to use."
Attila Domokos: Simple and Beautiful Rails Code with Functional Style,01/11/2013,3:35 PM,4:35 PM,Cypress,Ruby,"Do you have to look at Rails models with 1400 lines of code? Or 80 line method loaded with iterators, conditionals and instance variables? Not only you, even the code author does not understand what's going on in there.

I'll show you how you can craft simple and beautiful Rails application by adopting functional programming inspired ideas. Say goodbye to the mess you have by constructing tiny classes and functions that you can use to build up a complex system."
Leon Gersing: Speaker Workshop (Tuesday All Day),01/08/2013,8:30 AM,5:30 PM,Banyan,Public Speaking,"Interested in becoming a great speaker? Come learn or hone your skills with some of the nation's best speakers. You'll get the chance to learn tips and tricks, and you'll have the chance to get feedback on your own presentation methods."
Jen Myers: Straight-Up Design: Simple Ways for Devs to Make Apps Look and Work Better,01/10/2013,11:00 AM,12:00 PM,Salon H,Design/UX,"It’s a question that designers in the coding world hear all the time from developers: “How do I make my stuff look better on my own?” It’s all very well and good to learn about design theory, but sometimes  - such as on side projects with no design support, or when you want to work more comfortably and fluidly with your company’s internal designers - you just want to know exactly what to do to polish your applications. We’ll discuss topics like finding good design inspiration, choosing fonts and colors, understanding visual hierarchy and messaging, improving overall user experience, and what frameworks and tools exist to help make your design work easier.

(This is more or less the “sequel” to the “Developers Can’t Design (And Other Completely Untrue Design Myths)” presented last year at Codemash.)"
Dick Wall: Subcut: Simple Injection Dependency Framework in Scala,01/11/2013,10:45 AM,11:45 AM,Orange,Scala,"About a year ago SubCut 1.0 was released and offered the simplest API for Scala dependency management that I could think of. It provides a DSL for easy configuration and binding of implementations to traits, a mixin trait for easy dependency lookup and injection, use of either mixins or implicit parameters to apply configuration to new instances, and an optional compiler plugin to remove the small amount of repeated boilerplate that showed up through the code when using implicit parameters.

To my surprise and great pleasure, people started to use SubCut - it scratched an itch with other people than just me. I also got committers on the project in github, and some fantastic improvements were submitted. During the same period, I and others continued to use SubCut and found some functional limitations in the current implementation. These things prompted work on a 2.0 release of subcut which has made a number of improvements to the API and functionality.

This session will cover what SubCut is and how it works, what is new in 2.0, and a more general look at working backwards from a desired API which emphasizes simplicity, an approach which is sometimes overlooked in the creation of Scala APIs."
Lwin Maung: Taking the Microcontrollers to the Next Level - Make Your Very Own PCB circuit board,01/10/2013,1:45 PM,2:45 PM,Salon G,Hardware,"What do you think two geeks do when they have too much time on their hands? They have fun with microcontrollers. In this session, Min and Lwin will start off with basics on electronics, safety while playing with electricity to take your life style to the next level. They will actually show you step by steps on how to design and make your own printed circuit board from scratch. We will bring etching solution, we will etch out a board with you. Then we will use the popular arduino and netduino platform to control the board remotely from a mobile device."
Chris Risner: Taking your Android Apps to the Cloud with Windows Azure Mobile Services,01/10/2013,11:00 AM,12:00 PM,Zambezi,Mobile,"Android is fast becoming the number one mobile OS for development. If you want to build Android apps, you NEED to know about using the cloud. In this session, we’ll talk about connecting Android apps to Windows Azure Mobile Services to take advantage of easy data storage, user auth with multiple providers, push notifications and more. You’ll leave knowing how to get an easy to use backend up and running and focus on building a great app."
Nayan Hajratwala: Test Driving User Interfaces,01/11/2013,10:45 AM,11:45 AM,Portia/Wisteria,Testing,"Test Driving business and persistence logic has been proven to be an effective technique for incremental design, reduced complexity, and easy automated regression testing. Many teams struggle with how to achieve these same benefits for User Interfaces. The traditional notion is that a UI is too fragile and hard to test until it is already built.

This session will consist of a brief explanation of the Page Object pattern, followed by a live coding demo showing the integration of Cucumber-JVM with Selenium via Page Objects. Code will be available on GitHub after the session.

Attendees will come away with an understanding of:
 * the benefits of consolidating structural web page information in a single location
 * how the Page Object pattern can be applied to an existing project
 * the limitations of the Page Object pattern"
James Kovacs: Testable JavaScript,01/10/2013,4:50 PM,5:50 PM,Salon D,Testing,"Your client-side JavaScript is code as worthy of testing as any server-side code that you might write, but often JavaScript testing is ignored. This session will introduce you to QUnit, Jasmine, and Mocha, three popular JavaScript testing frameworks. Come see how you can easily incorporate TDD/BDD techniques into your web development stack and increase your confidence that your JavaScript code is as robust as your server-side code."
Philip Japikse: Testing Code From The Pit Of Despair,01/10/2013,4:50 PM,5:50 PM,Portia/Wisteria,Testing,"Michael Feathers defines Legacy Code as any code that doesn’t have automated tests, and you agree that automated tests are an important facet of successful software development. Then it happens – you get your next assignment, and it’s your worst nightmare! You have to maintain and enhance a large application that has no tests in place, and there are parts that are just plain scary. Where do you start? Traditional Test Driven Development techniques don’t typically work, since they focus on an inside-out development paradigm.

I will show you the patterns and practices that will help you turn the scary big ball of mud into a tested code base."
Howard Lewis Ship: Testing Web Applications with Geb,01/10/2013,11:00 AM,12:00 PM,Portia/Wisteria,Java,"If you build web applications and cringe at the phrase ""but how are we going to test it?"" you're going to love Geb: the browser automation and testing tool. Geb is a Groovy framework for testing web applications: it builds on Selenium, but draws ideas from jQuery and elsewhere to make it productive and fun to test your applications in-browser.

Geb is rich with ideas to keep your tests clear, concise and maintainable. It is useful in all major testing frameworks: JUnit, TestNG, and Spock. We'll see how to navigate around the browser, clicking links, submitting forms, and verifying results. We'll also see Geb Pages and Modules, which allow you to define elements inside a page once, and reference them across many tests. Basically, Geb removes the excuses for not testing your web application, and that's a great thing!"
Christopher H. Laco: Testing: It's Not Just for Your Code,01/11/2013,3:35 PM,4:35 PM,Portia/Wisteria,Testing,"Nearly every conference we attend, we're bombarded with modern testing practices. Test Driven Development. Behavior Driven Development. Acceptance Tests. Unit Tests. Integration Tests. Factories. Cucumber. RSpec. Test Unit. On and on and on it goes. These are great tools for our tool belts, but they're all focused on a small portion of our software life cycles; mainly the developer portion.

There is a world outside of red green refactor. In this presentation, we'll take a look at where and how things go wrong. With all green tests and complete coverage, we can use different kinds of tests to reduce the pain, prevent regressions, and deliver strong deployments long after the features are completed.

We've tested our code. Now let's think about Testing Everything Else!

We'll focus on 3 main areas of issue:

- Environment: ""It's works on my machine"", ""The Macbook Pro Bubble"", ""What Firewall?"", ""Connection String Blues"" and other common issues.

- Data Issues: ""Garbage In, Garbage Out"", ""Legacy Business Constraints vs New Technology"",  ""Real World Data vs Developer Data"", ""Index/Duplicate Record Madness"".

- Deployments:  ""All Test Pass Myth"", ""Customers vs. Steakholders"", ""Server Side Tests"", and ""We Don't Need QA"".

Slide deck:  https://speakerdeck.com/u/claco/p/testing-its-not-just-for-your-code
"
Matthew D. Groves: The Class that Knew too Much: Refactoring Spaghetti Code,01/10/2013,4:50 PM,5:50 PM,Indigo Bay,.NET,"The Single Responsibility Principle states that a class should have one (and only one) reason to change. Classes that don't adhere to this principle can result in tightly coupled spaghetti code that leads to more bugs and higher maintenance. We'll look at how to identify these classes by using some heuristics and looking for ""code smells"", and we'll clean them up using refactoring tools, design patterns, dependency injection and even aspect-oriented programming. Examples will be in C#, but the concepts can be applied to a variety of languages."
Peter Ritchie: The Evolution of Asynchronous Programming on .NET ,01/11/2013,10:45 AM,11:45 AM,Guava/Tamarind,.NET,"Everything you wanted the know about asynchronous programming in .NET, but were afraid to ask. 

Multithreaded programming is hard.  the latest version of Visual Studio includes language additions to C# and VB to make it much easier to write asynchronous code (the async and await keywords).

.NET has had numerous ways to implement asynchonous and lenghty operations over the years.  This session details some of these techniques, their benefits and their drawbacks.  This session also details the progression of these techniques leading up to async/await in an effort to better understand the new syntax as well as better understand how to migrate existing asynchronous code to the new syntax.  As well, this session allows you to increase your expertise with several advanced language features that the new syntax and existing patterns build on, like lamdas, anonymous methods, closures, etc."
Doug Alcorn: The Holy Grail: Getting Your Customer to Write Acceptance Tests,01/11/2013,10:45 AM,11:45 AM,Sagewood/Zebrawood,Testing,"For as long as I've been testing code, we've talked about getting the customer to write the tests. Cucumber is the latest contender vying for this lofty goal. I largely passed on Cucumber as an additional step adding a needless layer of complexity between the tests and code. That's true as long as the customers aren't reading or writing the tests. By writing the specs at the appropriate level of detail, customers can actually engage in the process. The result is profound conversations with your customer about how the system actually works and how it should work. In this session, we'll walk through the feature development process and show how we get our customers involved."
JC Grubbs: The Native/Mobile Web: Beyond the Basics with PhoneGap,01/11/2013,10:45 AM,11:45 AM,Indigo Bay,Mobile,"Phonegap (also known as Cordova) is a powerful cross-platform tool for building mobile applications with standard web technologies such as HTML5, JavaScript, and CSS.  While the framework is extremely simple, it can be difficult to make the switch from thinking about web applications to thinking about mobile applications.  There are performance pitfalls, and code-organization concerns, and tricky development environments.

In this talk, JC will walk us through a real working Phonegap application built using Backbone.js, Require.js, and a smattering of other open source tools and all covered by an automated test suite.  The presentation will cover the following:

- How to organize our application and its dependencies
- Dealing with local vs. remote data
- Creating a simple build process for packaging your app for deployment to multiple targets (iOS and Android)
- Dealing with the performance gotchas when working with web technologies on mobile devices
- Debugging a remote mobile web application"
Brandon Rhodes: Touring the Universe with Scientific Python,01/11/2013,10:45 AM,11:45 AM,Salon E,Python,"Python is big in the world of science, bringing the power of a general-purpose language to domains traditionally dominated by languages like FORTRAN and Matlab. But the statistics and visualization power-tools that draw scientists to Python can be daunting at first for people in other fields. This talk will use a common human birthright, the sky full of stars and planets and galaxies, to take an illustrated whirlwind tour of the ways that Python can be used to analyze, process, and visualize complex science-grade data, and will then bring the lessons back home by showing how the same tools can be used on data like your Apache logs, user demographics, and application performance. And you might even learn a bit of astronomy in the process!"
Guy Royse: Understanding Prototypal Inheritance,01/10/2013,9:45 AM,10:45 AM,Salon D,JavaScript,"One the most misunderstood concepts in JavaScript is prototypal inheritance.  Prototypal inheritance is nothing like classical inheritance but is actually quiet easy to grasp once you let go of the bounds of classes and instances.  In this session we will explore the nature of JavaScript objects, how they inherit from one another, and why everyone thought this prototype stuff was so hard in the first place.  If you want to up your game and really understand how JavaScript inheritance works, come check out this session."
Rob Harr: Using Capistrano For Deploying Everything,01/10/2013,1:45 PM,2:45 PM,Cypress,Continuous Deployment,"Teams are too afraid of deploying code. Since shipping code is painful, they put it off and do less of it. No good. We need to make deployment easy and enjoyable. Capistrano is a fantastic remote server automation tool which works wonderfully for automating deployments and other server tasks. Written in Ruby, it has seen a lot of adoption for deploying rails applications. Since falling in love with this library, our office decided to apply it to every project we're involved with — including PHP content management systems. We will cover a brief introduction to Capistrano and discuss real world examples of how we've used it to make our team more productive. Automating deployment has changed the way we work in a great way. "
Jeff Kelley: Using Images in iOS,01/10/2013,4:50 PM,5:50 PM,Salon A,Mac/iPhone,"This talk will cover using images in iOS, from loading from the disk and network efficiently to creating images from scratch in your iOS app. WIth five separate screen resolutions to account for, images can quickly get out of hand, increasing the size of your binary and making it a nightmare to support. We'll look at making stretchable images that can support any resolution, creating thumbnails of large images, and even look at a new library I've created for rendering images on the fly. "
All Attendees: Vendor Sessions - Friday,01/11/2013,3:00 PM,3:20 PM,TBD,Other,
All Attendees: Vendor Sessions - Thursday,01/10/2013,3:00 PM,3:20 PM,TBD,Other,
Daniel Bower: Version your database on nearly any platform with Liquibase,01/11/2013,3:35 PM,4:35 PM,Sagewood/Zebrawood,Continuous Deployment,"If you are still writing one-off scripts to manage your database, then it is time to make your life much simpler and less error-prone.  
We'll spend the time discussing Liquibase, a tool that will help you to manage that process.  It will even allow you to check your schema and seed data into source-control, and get new environments up and running quickly.  This session will focus not on the merits of using such a tool, but on its workflow and implementation in a project.  We'll run through the majority of features from the command-line, demonstrating that as long as a Java Runtime Environment (jre) is available, Liquibase can be used during deployments on any platform.  We'll also touch on usage with maven and quirks of Liquibase that are good to know ahead of time."
Jim Weirich: Vital Testing (Tuesday Half Day PM),01/08/2013,1:30 PM,5:30 PM,D,Testing,"This workshop is for the testing-minded developer who would like to sharpen their testing skills. Are you unsatisfied with the your test coverage? Or maybe you find that your unit tests tend to break when you refactor. Or maybe you just can't seem to get your tests to help drive your design direction.

Whatever your testing shortcomings, this workshop will allow you to practice your testing skills is a series of short, focused coding exercises. The workshop will begin with a talk on testing strategies and skills covering things like: starting with failing test; selecting what to test next; making sure the test fails; focusing on behavior, not implementation; and writing readable, non-brittle tests.

After the talk you will participate in a testing self assessment to see where you need to improve. The rest of the workshop will be an opportunity to pair with like-minded individuals and practice those skills that need improvement.

Testing is no longer an optional part of software development, it is an integral part of writing solid code. Come join us as we improve this vital skill.
"
All Attendees: Waterpark Party,01/10/2013,10:00 PM,1:00 AM,Waterpark,,
Ben Callahan: Web Design Process in a Responsive World,01/10/2013,9:45 AM,10:45 AM,Salon H,Design/UX,"Front-end developers have had their day playing with fluid grids, flexible content, and media queries. Now it's time to let the rest of the team in on the process. We'll discuss:

• why responsive web design cannot be a front-end-only job
• getting into the browser as soon as possible
• new client deliverables
• setting client expectations
• some ideas on how to price RWD
• a new process for a new web

This will be a session for anyone who works on the web. We are not writing code, we're discussing how to embrace the fluidity of the web throughout your entire process. Bring your opinions."
Michael Crute: Web Development with Python and Django (Wednesday Full Day),01/09/2013,8:30 AM,5:30 PM,Indigo,Python,"New to web development? Want to check out a new language? Join us in an exploration of Python by way of the Django web framework. Python has been around for over 20 years and has a well-deserved reputation of being easy to learn and very useful for quick prototyping. Django is a web framework written in Python ""for perfectionists with deadlines."" We'll introduce the Python language and the Django framework through a project that will result in a fully functional, tested site where users can submit proposals and receive feedback. We'll cover some of the neat time-saving applications that ship with Django and finish with a simple read-only JSON/REST API that could be used to power mobile applications. No Python or web development experience is required; we'll provide the HTML, CSS and Javascript so you can focus on server-side development. Bring your laptop and join us for a tour of Python and Django!"
Jeff Morgan: Web Testing with Ruby and Cucumber (Wednesday Half Day AM),01/09/2013,8:30 AM,12:30 PM,Sagewood/Zebrawood,Testing,"
This workshop introduces the practice of using Ruby and Cucumber for testing web applications.  Through a series of targeted hands on exercises, this workshop introduces Cucumber and Ruby scripting, using page objects to make your tests more maintainable, different strategies for maintaining your test data in order to make your tests more effective and simple, simple navigation through the pages of the application, extending Cucumber using World, Transformations, and writing our own RSpec matchers. Cheezy will also walk you through how to use a few of his Ruby gems to structure your test suite to minimize maintenance over the lifecycle of your tests. Make no mistake, this is a hands on workshop and you will be writing a lot of code."
Greg Levenhagen: Windows 8 and Windows Phone with Azure,01/11/2013,9:30 AM,10:30 AM,Zambezi,Windows 8,"With phones, slates, tablets and other devices exploding in market share, it’s important to know what technologies and tools will help you develop better applications. These devices are often short on processing power and storage, which is where Azure can really help out. Come see what it’s like to use Azure with Windows 8 Store Apps and Windows Phone, including several examples with push notifications, storage and authentication."
Michael S. Collier: Windows Azure: Lessons from the Field,01/10/2013,1:45 PM,2:45 PM,Rosewood,Other,"The demos and presentations that show you how awesome a certain technology is are certainly exciting. But, let’s be real – there are often times when the demo “happy path” doesn’t work for real-world projects. Creating production ready Windows Azure applications often requires deviating from the “next, next, publish, magic, let’s party” path often seen. In this session we will pull back the curtain on common Windows Azure scenarios such as debugging and diagnostics, environment setup, build and deployment process, Access Control Service (ACS), and role upgrades – just to name a few. Coming away from this session you’ll have gained valuable, real-world inspired knowledge you can apply to your Windows Azure applications right now!"
Samidip Basu: Windows Phone + SignalR = Awesome Possibilities!,01/11/2013,10:45 AM,11:45 AM,Zambezi,Mobile,"Built from the ground-up, Windows Phone brings together what you care about most, and brings it to you in an innovative and simple Modern UI interface. You and your content are at the center of it all through the Start screen experience with Live Tiles and integrated Hubs which provide rich & continuous user experience. SignalR, on the other hand, is a very cool piece of technology that provides async signaling library to build real-time, multi-user interactive applications connecting disparate systems.

We start by introducing & using SignalR, before taking its applications to mobile frameworks. What do you get when we combine personalization of Windows Phone & the adaptability of SignalR? We get instant real-time communication between phone & backend server. We get location service applications. Chat. Stocks. Alerts. Endless possibilities! Come join us as we explore some of these new opportunities through demos & code samples.
"
Geoffrey Goetz: Working with Maps in iOS 6: MapKit and CoreLocation in Depth,01/11/2013,3:35 PM,4:35 PM,Salon A,Mac/iPhone,"Adding a Map to an App and recording a User’s location as they use the App has become a common must have feature in may of todays popular applications. This presentation will go over the updated iOS 6 APIs for accomplishing such tasks including map annotations, dragging and dropping custom pins as well as delve into some of the finer aspects of the required location based calculations one needs to consider to find the center of the map or the distance between two points. Additionally the presentation will go over techniques to update a MapView with a moving object as well as positioning the image for the object properly along its heading. This will be a straight forward hands on development presentation with plenty of code examples."
